,Items,Antecedent,Consequent,Support,Confidence,Lift
789,"{'Not Discussed', 'supervised', 'image', 'CNN'}","{'Not Discussed', 'image', 'CNN'}",{'supervised'},0.27710843373493976,0.9583333333333334,1.0197649572649572
323,"{'Not Discussed', 'supervised', 'CNN'}","{'Not Discussed', 'CNN'}",{'supervised'},0.4819277108433735,0.9523809523809524,1.0134310134310134
260,"{'Disaster Damage Assessment', 'supervised', 'CNN'}","{'Disaster Damage Assessment', 'CNN'}",{'supervised'},0.24096385542168675,0.9523809523809524,1.0134310134310134
117,"{'supervised', 'Disaster Related Information Filtering'}",{'Disaster Related Information Filtering'},{'supervised'},0.21686746987951808,0.9473684210526316,1.008097165991903
189,"{'supervised', 'image'}",{'image'},{'supervised'},0.42168674698795183,0.945945945945946,1.0065835065835067
195,"{'supervised', 'precision, recall, f1-score'}","{'precision, recall, f1-score'}",{'supervised'},0.20481927710843373,0.9444444444444444,1.0049857549857548
192,"{'multimodal', 'supervised'}",{'multimodal'},{'supervised'},0.20481927710843373,0.9444444444444444,1.0049857549857548
714,"{'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}","{'Disaster Damage Assessment', 'image', 'CNN'}",{'supervised'},0.1927710843373494,0.9411764705882354,1.0015082956259427
18,{'supervised'},set(),{'supervised'},0.9397590361445783,0.9397590361445783,1.0
699,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment', 'CNN'}",{'supervised'},0.18072289156626506,0.9375,0.9975961538461539
687,"{'Not Discussed', 'Disaster Damage Assessment', 'image', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment', 'image'}",{'CNN'},0.1686746987951807,0.9333333333333332,1.3356321839080458
108,"{'supervised', 'Disaster Related Information Classification'}",{'Disaster Related Information Classification'},{'supervised'},0.1686746987951807,0.9333333333333332,0.9931623931623931
759,"{'Not Discussed', 'supervised', 'Twitter', 'CNN'}","{'Not Discussed', 'Twitter', 'CNN'}",{'supervised'},0.1566265060240964,0.9285714285714287,0.9880952380952382
596,"{'multimodal', 'supervised', 'Twitter'}","{'multimodal', 'Twitter'}",{'supervised'},0.1566265060240964,0.9285714285714287,0.9880952380952382
498,"{'supervised', 'Disaster Related Information Filtering', 'Twitter'}","{'Disaster Related Information Filtering', 'Twitter'}",{'supervised'},0.1566265060240964,0.9285714285714287,0.9880952380952382
